date,Default,Late,In Grace Period
2018-07-12,0.00934579439252,0.018691588785,0.0
2018-07-13,0.00917431192661,0.0183486238532,0.0
2018-07-14,0.00917431192661,0.0183486238532,0.0
2018-07-15,0.00909090909091,0.0181818181818,0.0
2018-07-16,0.00909090909091,0.0181818181818,0.0
2018-07-17,0.00900900900901,0.018018018018,0.0
2018-07-18,0.00869565217391,0.0173913043478,0.0
2018-07-19,0.00854700854701,0.017094017094,0.0
2018-07-20,0.00854700854701,0.017094017094,0.00854700854701
2018-07-21,0.00847457627119,0.0169491525424,0.00847457627119
2018-07-22,0.00840336134454,0.0168067226891,0.00840336134454
2018-07-23,0.00847457627119,0.0169491525424,0.00847457627119
2018-07-24,0.00847457627119,0.0169491525424,0.0169491525424
2018-07-25,0.00806451612903,0.0161290322581,0.0161290322581
2018-07-26,0.00806451612903,0.0161290322581,0.0161290322581
2018-07-27,0.00787401574803,0.0157480314961,0.0157480314961
2018-07-28,0.0078125,0.015625,0.015625
2018-07-29,0.0078125,0.015625,0.015625
2018-07-30,0.00787401574803,0.0157480314961,0.0157480314961
2018-07-31,0.00787401574803,0.0236220472441,0.00787401574803
2018-08-01,0.0078125,0.0234375,0.0078125
2018-08-02,0.00763358778626,0.0229007633588,0.00763358778626
2018-08-03,0.0077519379845,0.0232558139535,0.0077519379845
2018-08-04,0.0077519379845,0.0232558139535,0.0077519379845
2018-08-05,0.00769230769231,0.0230769230769,0.00769230769231
2018-08-06,0.00757575757576,0.0227272727273,0.00757575757576
2018-08-07,0.015037593985,0.015037593985,0.00751879699248
2018-08-08,0.0151515151515,0.0151515151515,0.0151515151515
2018-08-09,0.0151515151515,0.0151515151515,0.0151515151515
2018-08-10,0.0144927536232,0.0144927536232,0.0144927536232
2018-08-11,0.0144927536232,0.0144927536232,0.0144927536232
2018-08-12,0.0143884892086,0.0143884892086,0.0143884892086
2018-08-13,0.0142857142857,0.0142857142857,0.0142857142857
2018-08-14,0.0142857142857,0.0142857142857,0.0142857142857
2018-08-15,0.0142857142857,0.0142857142857,0.0142857142857
2018-08-16,0.0140845070423,0.0140845070423,0.0140845070423
2018-08-17,0.013986013986,0.013986013986,0.013986013986
2018-08-18,0.0138888888889,0.0138888888889,0.0138888888889
2018-08-19,0.013698630137,0.013698630137,0.013698630137
2018-08-20,0.0136054421769,0.0136054421769,0.0136054421769
2018-08-21,0.0136054421769,0.0136054421769,0.0136054421769
2018-08-22,0.0136054421769,0.0136054421769,0.0136054421769
2018-08-23,0.0134228187919,0.0134228187919,0.0134228187919
2018-08-24,0.0132450331126,0.0132450331126,0.0132450331126
2018-08-25,0.0130718954248,0.0130718954248,0.0130718954248
2018-08-26,0.0130718954248,0.0130718954248,0.0130718954248
2018-08-27,0.012987012987,0.012987012987,0.012987012987
2018-08-28,0.012987012987,0.012987012987,0.012987012987
2018-08-29,0.012987012987,0.012987012987,0.012987012987
2018-08-30,0.0128205128205,0.0128205128205,0.0128205128205
2018-08-31,0.0128205128205,0.0128205128205,0.0128205128205
2018-09-01,0.0126582278481,0.0126582278481,0.0126582278481
2018-09-02,0.0126582278481,0.0189873417722,0.00632911392405
2018-09-03,0.0125,0.01875,0.00625
2018-09-04,0.0125,0.01875,0.00625
2018-09-05,0.0125,0.01875,0.00625
2018-09-06,0.0123456790123,0.0185185185185,0.00617283950617
2018-09-07,0.0123456790123,0.0185185185185,0.00617283950617
2018-09-08,0.0120481927711,0.0180722891566,0.00602409638554
2018-09-09,0.0119760479042,0.0179640718563,0.0059880239521
2018-09-10,0.0119760479042,0.0179640718563,0.0059880239521
2018-09-11,0.0119760479042,0.0179640718563,0.0059880239521
2018-09-12,0.0119760479042,0.0179640718563,0.0059880239521
2018-09-13,0.0119047619048,0.0178571428571,0.00595238095238
2018-09-14,0.0119047619048,0.0178571428571,0.00595238095238
2018-09-15,0.0116959064327,0.0175438596491,0.00584795321637
2018-09-16,0.0116279069767,0.0174418604651,0.00581395348837
2018-09-17,0.0115606936416,0.0173410404624,0.0
2018-09-18,0.0115606936416,0.0173410404624,0.0
2018-09-19,0.0115606936416,0.0173410404624,0.0
2018-09-20,0.0114285714286,0.0171428571429,0.0
2018-09-21,0.0114285714286,0.0171428571429,0.0
2018-09-22,0.0111731843575,0.0167597765363,0.0
2018-09-23,0.010989010989,0.0164835164835,0.0
2018-09-24,0.010989010989,0.0164835164835,0.0
